chunk_id,concept_id
eng_chk_00001,eng_con_00001
eng_chk_00002,eng_con_00002
eng_chk_00003,eng_con_00003
eng_chk_00002,eng_con_00002
eng_chk_00005,eng_con_00005
eng_chk_00006,eng_con_00006
eng_chk_00007,eng_con_00007
eng_chk_00008,eng_con_00008
eng_chk_00009,eng_con_00009
eng_chk_00002,eng_con_00002
eng_chk_00011,eng_con_00011
eng_chk_00012,eng_con_00012
eng_chk_00013,eng_con_00013
eng_chk_00014,eng_con_00014
eng_chk_00015,eng_con_00015
eng_chk_00016,eng_con_00016
eng_chk_00017,eng_con_00017
eng_chk_00002,eng_con_00002
eng_chk_00019,eng_con_00019
eng_chk_00020,eng_con_00020
eng_chk_00021,eng_con_00021
eng_chk_00022,eng_con_00022
eng_chk_00023,eng_con_00023
eng_chk_00024,eng_con_00024
eng_chk_00025,eng_con_00025
eng_chk_00026,eng_con_00026
eng_chk_00002,eng_con_00002
eng_chk_00028,eng_con_00028
eng_chk_00029,eng_con_00029
eng_chk_00002,eng_con_00002
eng_chk_00031,eng_con_00031
eng_chk_00032,eng_con_00032
eng_chk_00033,eng_con_00033
eng_chk_00034,eng_con_00034
eng_chk_00035,eng_con_00035
eng_chk_00036,eng_con_00036
eng_chk_00037,eng_con_00037
eng_chk_00002,eng_con_00002
eng_chk_00039,eng_con_00039
eng_chk_00002,eng_con_00002
eng_chk_00041,eng_con_00041
eng_chk_00042,eng_con_00042
eng_chk_00043,eng_con_00043
eng_chk_00044,eng_con_00044
eng_chk_00045,eng_con_00045
eng_chk_00046,eng_con_00046
eng_chk_00047,eng_con_00047
eng_chk_00048,eng_con_00048
eng_chk_00049,eng_con_00049
eng_chk_00050,eng_con_00050
eng_chk_00002,eng_con_00002
eng_chk_00052,eng_con_00052
eng_chk_00053,eng_con_00053
eng_chk_00054,eng_con_00054
eng_chk_00055,eng_con_00055
eng_chk_00056,eng_con_00056
eng_chk_00057,eng_con_00057
eng_chk_00058,eng_con_00058
eng_chk_00002,eng_con_00002
eng_chk_00060,eng_con_00060
eng_chk_00002,eng_con_00002
eng_chk_00062,eng_con_00062
eng_chk_00063,eng_con_00063
eng_chk_00064,eng_con_00064
eng_chk_00065,eng_con_00065
eng_chk_00066,eng_con_00066
eng_chk_00067,eng_con_00067
eng_chk_00002,eng_con_00002
eng_chk_00069,eng_con_00069
eng_chk_00070,eng_con_00070
eng_chk_00071,eng_con_00001
eng_chk_00072,eng_con_00009
eng_chk_00073,eng_con_00003
eng_chk_00074,eng_con_00004
eng_chk_00075,eng_con_00005
eng_chk_00076,eng_con_00006
eng_chk_00077,eng_con_00007
eng_chk_00078,eng_con_00008
eng_chk_00002,eng_con_00002
eng_chk_00080,eng_con_00010
eng_chk_00081,eng_con_00011
eng_chk_00082,eng_con_00012
eng_chk_00083,eng_con_00013
eng_chk_00084,eng_con_00014
eng_chk_00085,eng_con_00015
eng_chk_00086,eng_con_00016
eng_chk_00087,eng_con_00017
eng_chk_00002,eng_con_00002
eng_chk_00089,eng_con_00019
eng_chk_00090,eng_con_00020
eng_chk_00091,eng_con_00021
eng_chk_00092,eng_con_00022
eng_chk_00093,eng_con_00023
eng_chk_00094,eng_con_00024
eng_chk_00002,eng_con_00002
eng_chk_00096,eng_con_00026
eng_chk_00097,eng_con_00027
eng_chk_00098,eng_con_00028
eng_chk_00099,eng_con_00029
eng_chk_00002,eng_con_00002
eng_chk_00101,eng_con_00031
eng_chk_00102,eng_con_00032
eng_chk_00103,eng_con_00033
eng_chk_00104,eng_con_00034
eng_chk_00105,eng_con_00035
eng_chk_00106,eng_con_00036
eng_chk_00107,eng_con_00037
eng_chk_00108,eng_con_00038
eng_chk_00109,eng_con_00039
eng_chk_00110,eng_con_00040
eng_chk_00111,eng_con_00041
eng_chk_00112,eng_con_00042
eng_chk_00002,eng_con_00002
eng_chk_00114,eng_con_00044
eng_chk_00115,eng_con_00045
eng_chk_00116,eng_con_00046
eng_chk_00002,eng_con_00002
eng_chk_00002,eng_con_00002
eng_chk_00119,eng_con_00049
eng_chk_00002,eng_con_00002
eng_chk_00121,eng_con_00051
eng_chk_00002,eng_con_00002
eng_chk_00123,eng_con_00053
eng_chk_00124,eng_con_00054
eng_chk_00125,eng_con_00055
eng_chk_00126,eng_con_00056
eng_chk_00127,eng_con_00057
eng_chk_00128,eng_con_00058
eng_chk_00002,eng_con_00002
eng_chk_00002,eng_con_00002
eng_chk_00131,eng_con_00061
eng_chk_00132,eng_con_00062
eng_chk_00133,eng_con_00063
eng_chk_00134,eng_con_00064
eng_chk_00135,eng_con_00065
eng_chk_00136,eng_con_00066
eng_chk_00137,eng_con_00067
eng_chk_00138,eng_con_00068
eng_chk_00002,eng_con_00002
eng_chk_00140,eng_con_00070
eng_chk_00001,eng_con_00001
eng_chk_00002,eng_con_00002
eng_chk_00003,eng_con_00003
eng_chk_00004,eng_con_00004
eng_chk_00002,eng_con_00002
eng_chk_00006,eng_con_00006
eng_chk_00007,eng_con_00007
eng_chk_00008,eng_con_00008
eng_chk_00009,eng_con_00009
