master_position,instance_id,instance_text
01:01:01:001,eng:01:01:01:001,I
00:00:00:001,eng:01:01:01:002,","
01:01:01:002,eng:01:01:01:003,Nephi
00:00:00:001,eng:01:01:01:004,","
01:01:01:003,eng:01:01:01:005,having been born
01:01:01:004,eng:01:01:01:006,of
01:01:01:005,eng:01:01:01:007,goodly
01:01:01:006,eng:01:01:01:008,parents
01:01:01:008,eng:01:01:01:011,I was taught
00:00:00:001,eng:01:01:01:009,","
01:01:01:007,eng:01:01:01:010,therefore
01:01:01:009,eng:01:01:01:012,somewhat
01:01:01:010,eng:01:01:01:013,in
01:01:01:011,eng:01:01:01:014,all
01:01:01:012,eng:01:01:01:015,the learning
01:01:01:013,eng:01:01:01:016,of
01:01:01:014,eng:01:01:01:017,my father
00:00:00:001,eng:01:01:01:018,;
01:01:01:015,eng:01:01:01:019,and
01:01:01:016,eng:01:01:01:020,having seen
01:01:01:017,eng:01:01:01:021,many
01:01:01:018,eng:01:01:01:022,afflictions
01:01:01:019,eng:01:01:01:023,in
01:01:01:020,eng:01:01:01:024,the course
01:01:01:021,eng:01:01:01:025,of
01:01:01:022,eng:01:01:01:026,my days
00:00:00:001,eng:01:01:01:027,","
01:01:01:024,eng:01:01:01:030,having been
01:01:01:023,eng:01:01:01:028,nevertheless
00:00:00:001,eng:01:01:01:029,","
01:01:01:025,eng:01:01:01:031,highly
01:01:01:026,eng:01:01:01:032,favored
01:01:01:027,eng:01:01:01:033,of
01:01:01:028,eng:01:01:01:034,the Lord
01:01:01:029,eng:01:01:01:035,in
01:01:01:030,eng:01:01:01:036,all
01:01:01:031,eng:01:01:01:037,my days
00:00:00:001,eng:01:01:01:038,;
01:01:01:032,eng:01:01:01:039,yea
00:00:00:001,eng:01:01:01:040,","
01:01:01:033,eng:01:01:01:041,having had
01:01:01:034,eng:01:01:01:042,a
01:01:01:036,eng:01:01:01:044,knowledge
01:01:01:035,eng:01:01:01:043,great
01:01:01:037,eng:01:01:01:045,of
01:01:01:038,eng:01:01:01:046,the goodness
01:01:01:039,eng:01:01:01:047,and
01:01:01:040,eng:01:01:01:048,the mysteries
01:01:01:041,eng:01:01:01:049,of
01:01:01:042,eng:01:01:01:050,God
00:00:00:001,eng:01:01:01:051,","
01:01:01:044,eng:01:01:01:053,I make
01:01:01:043,eng:01:01:01:052,therefore
01:01:01:045,eng:01:01:01:054,a record
01:01:01:046,eng:01:01:01:055,of
01:01:01:047,eng:01:01:01:056,my proceedings
01:01:01:048,eng:01:01:01:057,in
01:01:01:049,eng:01:01:01:058,my days
00:00:00:001,eng:01:01:01:059,.
01:01:02:001,eng:01:01:02:001,Yea
00:00:00:001,eng:01:01:02:002,","
01:01:02:002,eng:01:01:02:003,I make
01:01:02:003,eng:01:01:02:004,a record
01:01:02:004,eng:01:01:02:005,in
01:01:02:005,eng:01:01:02:006,the language
01:01:02:006,eng:01:01:02:007,of
01:01:02:007,eng:01:01:02:008,my father
00:00:00:001,eng:01:01:02:009,","
01:01:02:008,eng:01:01:02:010,which
01:01:02:009,eng:01:01:02:011,consists
01:01:02:010,eng:01:01:02:012,of
01:01:02:011,eng:01:01:02:013,the learning
01:01:02:012,eng:01:01:02:014,of
01:01:02:013,eng:01:01:02:015,the Jews
01:01:02:014,eng:01:01:02:016,and
01:01:02:015,eng:01:01:02:017,the language
01:01:02:016,eng:01:01:02:018,of
01:01:02:017,eng:01:01:02:019,the Egyptians
00:00:00:001,eng:01:01:02:020,.
01:01:03:001,eng:01:01:03:001,And
01:01:03:002,eng:01:01:03:002,I know
01:01:03:003,eng:01:01:03:003,that
01:01:03:004,eng:01:01:03:004,the record
01:01:03:005,eng:01:01:03:005,which
01:01:03:006,eng:01:01:03:006,I make
01:01:03:007,eng:01:01:03:007,is
01:01:03:008,eng:01:01:03:008,true
00:00:00:001,eng:01:01:03:009,;
01:01:03:009,eng:01:01:03:010,and
01:01:03:010,eng:01:01:03:011,I make it
01:01:03:011,eng:01:01:03:012,with
01:01:03:012,eng:01:01:03:013,mine
01:01:03:013,eng:01:01:03:014,own
01:01:03:014,eng:01:01:03:015,hand
00:00:00:001,eng:01:01:03:016,;
01:01:03:015,eng:01:01:03:017,and
01:01:03:016,eng:01:01:03:018,I make it
01:01:03:017,eng:01:01:03:019,according to
01:01:03:018,eng:01:01:03:020,my knowledge
00:00:00:001,eng:01:01:03:021,.
01:01:04:001,eng:01:01:04:001,For
01:01:04:002,eng:01:01:04:002,it came to pass
01:01:04:003,eng:01:01:04:003,in
01:01:04:004,eng:01:01:04:004,the commencement
01:01:04:005,eng:01:01:04:005,of
01:01:04:006,eng:01:01:04:006,the
01:01:04:007,eng:01:01:04:007,first
01:01:04:008,eng:01:01:04:008,year
01:01:04:009,eng:01:01:04:009,of
01:01:04:010,eng:01:01:04:010,the reign
01:01:04:011,eng:01:01:04:011,of
01:01:04:012,eng:01:01:04:012,Zedekiah
00:00:00:001,eng:01:01:04:013,","
01:01:04:013,eng:01:01:04:014,king
01:01:04:014,eng:01:01:04:015,of
01:01:04:015,eng:01:01:04:016,Judah
00:00:00:001,eng:01:01:04:017,","
00:00:00:001,eng:01:01:04:018,(
01:01:04:016,eng:01:01:04:019,my father
00:00:00:001,eng:01:01:04:020,","
01:01:04:017,eng:01:01:04:021,Lehi
00:00:00:001,eng:01:01:04:022,","
01:01:04:018,eng:01:01:04:023,having dwelt
01:01:04:019,eng:01:01:04:024,at
01:01:04:020,eng:01:01:04:025,Jerusalem
01:01:04:021,eng:01:01:04:026,in
01:01:04:022,eng:01:01:04:027,all
01:01:04:023,eng:01:01:04:028,his days
00:00:00:001,eng:01:01:04:029,)
00:00:00:001,eng:01:01:04:030,;
01:01:04:024,eng:01:01:04:031,and
01:01:04:025,eng:01:01:04:032,in
01:01:04:026,eng:01:01:04:033,that
01:01:04:027,eng:01:01:04:034,same
01:01:04:028,eng:01:01:04:035,year
01:01:04:029,eng:01:01:04:036,there came
01:01:04:030,eng:01:01:04:037,many
01:01:04:031,eng:01:01:04:038,prophets
00:00:00:001,eng:01:01:04:039,","
01:01:04:032,eng:01:01:04:040,prophesying
01:01:04:033,eng:01:01:04:041,unto
01:01:04:034,eng:01:01:04:042,the people
01:01:04:035,eng:01:01:04:043,that
01:01:04:036,eng:01:01:04:044,they must repent
00:00:00:001,eng:01:01:04:045,","
01:01:04:037,eng:01:01:04:046,or
01:01:04:038,eng:01:01:04:047,the
