master_position,instance_id,instance_text,chunk_id
01:01:01:001,eng:01:01:01:001,I,eng_chk_00126
00:00:00:001,eng:01:01:01:002,",",eng_chk_00005
01:01:01:002,eng:01:01:01:003,Nephi,eng_chk_00164
00:00:00:001,eng:01:01:01:004,",",eng_chk_00005
01:01:01:003,eng:01:01:01:005,having been born,eng_chk_00086
01:01:01:004,eng:01:01:01:006,of,eng_chk_00170
01:01:01:005,eng:01:01:01:007,goodly,eng_chk_00076
01:01:01:006,eng:01:01:01:008,parents,eng_chk_00180
00:00:00:001,eng:01:01:01:009,",",eng_chk_00005
01:01:01:007,eng:01:01:01:010,therefore,eng_chk_00252
01:01:01:008,eng:01:01:01:011,I was taught,eng_chk_00135
01:01:01:009,eng:01:01:01:012,somewhat,eng_chk_00199
01:01:01:010,eng:01:01:01:013,in,eng_chk_00137
01:01:01:011,eng:01:01:01:014,all,eng_chk_00022
01:01:01:012,eng:01:01:01:015,the learning,eng_chk_00226
01:01:01:013,eng:01:01:01:016,of,eng_chk_00170
01:01:01:014,eng:01:01:01:017,my father,eng_chk_00161
00:00:00:001,eng:01:01:01:018,;,eng_chk_00008
01:01:01:015,eng:01:01:01:019,and,eng_chk_00028
01:01:01:016,eng:01:01:01:020,having seen,eng_chk_00089
01:01:01:017,eng:01:01:01:021,many,eng_chk_00151
01:01:01:018,eng:01:01:01:022,afflictions,eng_chk_00019
01:01:01:019,eng:01:01:01:023,in,eng_chk_00137
01:01:01:020,eng:01:01:01:024,the course,eng_chk_00214
01:01:01:021,eng:01:01:01:025,of,eng_chk_00170
01:01:01:022,eng:01:01:01:026,my days,eng_chk_00160
00:00:00:001,eng:01:01:01:027,",",eng_chk_00005
01:01:01:023,eng:01:01:01:028,nevertheless,eng_chk_00165
00:00:00:001,eng:01:01:01:029,",",eng_chk_00005
01:01:01:024,eng:01:01:01:030,having been,eng_chk_00085
01:01:01:025,eng:01:01:01:031,highly,eng_chk_00112
01:01:01:026,eng:01:01:01:032,favored,eng_chk_00067
01:01:01:027,eng:01:01:01:033,of,eng_chk_00170
01:01:01:028,eng:01:01:01:034,the Lord,eng_chk_00227
01:01:01:029,eng:01:01:01:035,in,eng_chk_00137
01:01:01:030,eng:01:01:01:036,all,eng_chk_00022
01:01:01:031,eng:01:01:01:037,my days,eng_chk_00160
00:00:00:001,eng:01:01:01:038,;,eng_chk_00008
01:01:01:032,eng:01:01:01:039,yea,eng_chk_00292
00:00:00:001,eng:01:01:01:040,",",eng_chk_00005
01:01:01:033,eng:01:01:01:041,having had,eng_chk_00088
01:01:01:034,eng:01:01:01:042,a,eng_chk_00009
01:01:01:035,eng:01:01:01:043,great,eng_chk_00078
01:01:01:036,eng:01:01:01:044,knowledge,eng_chk_00145
01:01:01:037,eng:01:01:01:045,of,eng_chk_00170
01:01:01:038,eng:01:01:01:046,the goodness,eng_chk_00221
01:01:01:039,eng:01:01:01:047,and,eng_chk_00028
01:01:01:040,eng:01:01:01:048,the mysteries,eng_chk_00229
01:01:01:041,eng:01:01:01:049,of,eng_chk_00170
01:01:01:042,eng:01:01:01:050,God,eng_chk_00075
00:00:00:001,eng:01:01:01:051,",",eng_chk_00005
01:01:01:043,eng:01:01:01:052,therefore,eng_chk_00252
01:01:01:044,eng:01:01:01:053,I make,eng_chk_00131
01:01:01:045,eng:01:01:01:054,a record,eng_chk_00013
01:01:01:046,eng:01:01:01:055,of,eng_chk_00170
01:01:01:047,eng:01:01:01:056,my proceedings,eng_chk_00163
01:01:01:048,eng:01:01:01:057,in,eng_chk_00137
01:01:01:049,eng:01:01:01:058,my days,eng_chk_00160
00:00:00:001,eng:01:01:01:059,.,eng_chk_00006
01:01:02:001,eng:01:01:02:001,Yea,eng_chk_00292
00:00:00:001,eng:01:01:02:002,",",eng_chk_00005
01:01:02:002,eng:01:01:02:003,I make,eng_chk_00131
01:01:02:003,eng:01:01:02:004,a record,eng_chk_00013
01:01:02:004,eng:01:01:02:005,in,eng_chk_00137
01:01:02:005,eng:01:01:02:006,the language,eng_chk_00225
01:01:02:006,eng:01:01:02:007,of,eng_chk_00170
01:01:02:007,eng:01:01:02:008,my father,eng_chk_00161
00:00:00:001,eng:01:01:02:009,",",eng_chk_00005
01:01:02:008,eng:01:01:02:010,which,eng_chk_00283
01:01:02:009,eng:01:01:02:011,consists,eng_chk_00053
01:01:02:010,eng:01:01:02:012,of,eng_chk_00170
01:01:02:011,eng:01:01:02:013,the learning,eng_chk_00226
01:01:02:012,eng:01:01:02:014,of,eng_chk_00170
01:01:02:013,eng:01:01:02:015,the Jews,eng_chk_00224
01:01:02:014,eng:01:01:02:016,and,eng_chk_00028
01:01:02:015,eng:01:01:02:017,the language,eng_chk_00225
01:01:02:016,eng:01:01:02:018,of,eng_chk_00170
01:01:02:017,eng:01:01:02:019,the Egyptians,eng_chk_00217
00:00:00:001,eng:01:01:02:020,.,eng_chk_00006
01:01:03:001,eng:01:01:03:001,And,eng_chk_00028
01:01:03:002,eng:01:01:03:002,I know,eng_chk_00130
01:01:03:003,eng:01:01:03:003,that,eng_chk_00208
01:01:03:004,eng:01:01:03:004,the record,eng_chk_00234
01:01:03:005,eng:01:01:03:005,which,eng_chk_00283
01:01:03:006,eng:01:01:03:006,I make,eng_chk_00131
01:01:03:007,eng:01:01:03:007,is,eng_chk_00139
01:01:03:008,eng:01:01:03:008,true,eng_chk_00273
00:00:00:001,eng:01:01:03:009,;,eng_chk_00008
01:01:03:009,eng:01:01:03:010,and,eng_chk_00028
01:01:03:010,eng:01:01:03:011,I make it,eng_chk_00132
01:01:03:011,eng:01:01:03:012,with,eng_chk_00289
01:01:03:012,eng:01:01:03:013,mine,eng_chk_00157
01:01:03:013,eng:01:01:03:014,own,eng_chk_00179
01:01:03:014,eng:01:01:03:015,hand,eng_chk_00082
