master_position,instance_id,instance_text,chunk_id
01:01:01:001,msa:01:01:01:001,Aku,msa_chk_00001
00:00:00:003,msa:01:01:01:002,",",msa_chk_00002
01:01:01:002,msa:01:01:01:003,Nefi,msa_chk_00187
00:00:00:003,msa:01:01:01:004,",",msa_chk_00002
01:01:01:003,msa:01:01:01:005,telah dilahirkan,msa_chk_00254
01:01:01:004,msa:01:01:01:006,dari,msa_chk_00066
01:01:01:006,msa:01:01:01:007,ibu bapa,msa_chk_00117
01:01:01:005,msa:01:01:01:008,yang baik,msa_chk_00283
00:00:00:003,msa:01:01:01:009,",",msa_chk_00002
01:01:01:007,msa:01:01:01:010,oleh kerana itu,msa_chk_00190
01:01:01:008,msa:01:01:01:011,aku diajar,msa_chk_00019
01:01:01:009,msa:01:01:01:012,sedikit,msa_chk_00228
01:01:01:010,msa:01:01:01:013,di dalam,msa_chk_00077
01:01:01:011,msa:01:01:01:014,segala,msa_chk_00229
01:01:01:012,msa:01:01:01:015,pembelajaran,msa_chk_00198
01:01:01:014,msa:01:01:01:016,bapaku,msa_chk_00041
00:00:00:003,msa:01:01:01:017,;,msa_chk_00009
01:01:01:015,msa:01:01:01:018,dan,msa_chk_00065
10:00:00:003,msa:01:01:01:019,kerana,msa_chk_00139
01:01:01:016,msa:01:01:01:020,aku telah melihat,msa_chk_00025
01:01:01:017,msa:01:01:01:021,banyak,msa_chk_00040
01:01:01:018,msa:01:01:01:022,kesengsaraan,msa_chk_00140
01:01:01:019,msa:01:01:01:023,dalam,msa_chk_00064
01:01:01:020,msa:01:01:01:024,perjalanan,msa_chk_00210
01:01:01:022,msa:01:01:01:025,hidupku,msa_chk_00114
00:00:00:003,msa:01:01:01:026,",",msa_chk_00002
01:01:01:023,msa:01:01:01:027,walaupun demikian,msa_chk_00280
00:00:00:003,msa:01:01:01:028,",",msa_chk_00002
01:01:01:024,msa:01:01:01:029,telah,msa_chk_00248
01:01:01:025,msa:01:01:01:030,sangat,msa_chk_00222
01:01:01:026,msa:01:01:01:031,dirahmati,msa_chk_00102
01:01:01:027,msa:01:01:01:032,oleh,msa_chk_00189
01:01:01:028,msa:01:01:01:033,Tuhan,msa_chk_00272
01:01:01:029,msa:01:01:01:034,di,msa_chk_00075
01:01:01:030,msa:01:01:01:035,sepanjang,msa_chk_00237
01:01:01:031,msa:01:01:01:036,hidupku,msa_chk_00114
00:00:00:003,msa:01:01:01:037,;,msa_chk_00009
01:01:01:032,msa:01:01:01:038,ya,msa_chk_00281
00:00:00:003,msa:01:01:01:039,",",msa_chk_00002
10:00:00:003,msa:01:01:01:040,kerana,msa_chk_00139
01:01:01:033,msa:01:01:01:041,telah memiliki,msa_chk_00256
01:01:01:036,msa:01:01:01:042,pengetahuan,msa_chk_00202
01:01:01:035,msa:01:01:01:043,besar,msa_chk_00057
01:01:01:037,msa:01:01:01:044,tentang,msa_chk_00262
01:01:01:038,msa:01:01:01:045,kebaikan,msa_chk_00127
01:01:01:039,msa:01:01:01:046,dan,msa_chk_00065
01:01:01:040,msa:01:01:01:047,misteri-misteri,msa_chk_00184
01:01:01:042,msa:01:01:01:048,Tuhan,msa_chk_00272
00:00:00:003,msa:01:01:01:049,",",msa_chk_00002
01:01:01:043,msa:01:01:01:050,oleh kerana itu,msa_chk_00190
01:01:01:044,msa:01:01:01:051,aku membuat,msa_chk_00020
01:01:01:045,msa:01:01:01:052,sebuah catatan,msa_chk_00223
01:01:01:046,msa:01:01:01:053,tentang,msa_chk_00262
01:01:01:047,msa:01:01:01:054,perbuatan-perbuatanku,msa_chk_00208
01:01:01:048,msa:01:01:01:055,semasa,msa_chk_00232
01:01:01:049,msa:01:01:01:056,hidupku,msa_chk_00114
00:00:00:003,msa:01:01:01:057,.,msa_chk_00007
01:01:02:001,msa:01:01:02:001,Ya,msa_chk_00281
00:00:00:003,msa:01:01:02:002,",",msa_chk_00002
01:01:02:002,msa:01:01:02:003,aku membuat,msa_chk_00020
01:01:02:003,msa:01:01:02:004,sebuah catatan,msa_chk_00223
01:01:02:004,msa:01:01:02:005,dalam,msa_chk_00064
01:01:02:005,msa:01:01:02:006,bahasa,msa_chk_00036
01:01:02:007,msa:01:01:02:007,bapaku,msa_chk_00041
00:00:00:003,msa:01:01:02:008,",",msa_chk_00002
01:01:02:008,msa:01:01:02:009,yang,msa_chk_00282
01:01:02:009,msa:01:01:02:010,terdiri,msa_chk_00265
01:01:02:010,msa:01:01:02:011,daripada,msa_chk_00067
01:01:02:011,msa:01:01:02:012,pembelajaran,msa_chk_00198
01:01:02:013,msa:01:01:02:013,orang Yahudi,msa_chk_00193
01:01:02:014,msa:01:01:02:014,dan,msa_chk_00065
01:01:02:015,msa:01:01:02:015,bahasa,msa_chk_00036
01:01:02:017,msa:01:01:02:016,orang Mesir,msa_chk_00191
00:00:00:003,msa:01:01:02:017,.,msa_chk_00007
01:01:03:001,msa:01:01:03:001,Dan,msa_chk_00065
01:01:03:002,msa:01:01:03:002,aku tahu,msa_chk_00024
01:01:03:003,msa:01:01:03:003,bahawa,msa_chk_00037
01:01:03:004,msa:01:01:03:004,catatan,msa_chk_00061
01:01:03:005,msa:01:01:03:005,yang,msa_chk_00282
01:01:03:006,msa:01:01:03:006,aku buat,msa_chk_00018
01:01:03:007,msa:01:01:03:007,adalah,msa_chk_00010
01:01:03:008,msa:01:01:03:008,benar,msa_chk_00045
00:00:00:003,msa:01:01:03:009,;,msa_chk_00009
01:01:03:009,msa:01:01:03:010,dan,msa_chk_00065
01:01:03:010,msa:01:01:03:011,aku membuatnya,msa_chk_00021
01:01:03:011,msa:01:01:03:012,dengan,msa_chk_00072
01:01:03:014,msa:01:01:03:013,tanganku,msa_chk_00247
01:01:03:013,msa:01:01:03:014,sendiri,msa_chk_00234
00:00:00:003,msa:01:01:03:015,;,msa_chk_00009
01:01:03:015,msa:01:01:03:016,dan,msa_chk_00065
01:01:03:016,msa:01:01:03:017,aku membuatnya,msa_chk_00021
01:01:03:017,msa:01:01:03:018,menurut,msa_chk_00175
01:01:03:018,msa:01:01:03:019,pengetahuanku,msa_chk_00203
00:00:00:003,msa:01:01:03:020,.,msa_chk_00007
01:01:04:001,msa:01:01:04:001,Kerana,msa_chk_00139
01:01:04:002,msa:01:01:04:002,terjadilah,msa_chk_00267
01:01:04:003,msa:01:01:04:003,pada,msa_chk_00194
01:01:04:004,msa:01:01:04:004,permulaan,msa_chk_00215
01:01:04:008,msa:01:01:04:005,tahun,msa_chk_00244
01:01:04:007,msa:01:01:04:006,pertama,msa_chk_00216
01:01:04:010,msa:01:01:04:007,pemerintahna,msa_chk_00199
01:01:04:012,msa:01:01:04:008,Zedekia,msa_chk_00295
01:01:04:013,msa:01:01:04:009,raja,msa_chk_00217
01:01:04:015,msa:01:01:04:010,Yehuda,msa_chk_00292
00:00:00:003,msa:01:01:04:011,(,msa_chk_00005
01:01:04:016,msa:01:01:04:012,bapaku,msa_chk_00041
00:00:00:003,msa:01:01:04:013,",",msa_chk_00002
01:01:04:017,msa:01:01:04:014,Lehi,msa_chk_00150
00:00:00:003,msa:01:01:04:015,",",msa_chk_00002
01:01:04:018,msa:01:01:04:016,telah tinggal,msa_chk_00259
01:01:04:019,msa:01:01:04:017,di,msa_chk_00075
01:01:04:020,msa:01:01:04:018,Yerusalem,msa_chk_00293
01:01:04:022,msa:01:01:04:019,sepanjang,msa_chk_00237
01:01:04:023,msa:01:01:04:020,hayatnya,msa_chk_00113
00:00:00:003,msa:01:01:04:021,),msa_chk_00006
00:00:00:003,msa:01:01:04:022,;,msa_chk_00009
01:01:04:024,msa:01:01:04:023,dan,msa_chk_00065
01:01:04:025,msa:01:01:04:024,pada,msa_chk_00194
01:01:04:028,msa:01:01:04:025,tahun,msa_chk_00244
01:01:04:027,msa:01:01:04:026,yang sama,msa_chk_00290
01:01:04:026,msa:01:01:04:027,itu,msa_chk_00119
01:01:04:029,msa:01:01:04:028,datanglah,msa_chk_00069
01:01:04:030,msa:01:01:04:029,ramai,msa_chk_00218
01:01:04:031,msa:01:01:04:030,nabi,msa_chk_00186
00:00:00:003,msa:01:01:04:031,",",msa_chk_00002
01:01:04:032,msa:01:01:04:032,bernubuat,msa_chk_00053
01:01:04:033,msa:01:01:04:033,kepada,msa_chk_00134
01:01:04:034,msa:01:01:04:034,orang ramai,msa_chk_00192
01:01:04:035,msa:01:01:04:035,bahawa,msa_chk_00037
01:01:04:036,msa:01:01:04:036,mereka mesti bertaubat,msa_chk_00180
00:00:00:003,msa:01:01:04:037,",",msa_chk_00002
01:01:04:037,msa:01:01:04:038,atau,msa_chk_00033
01:01:04:040,msa:01:01:04:039,kota,msa_chk_00144
01:01:04:039,msa:01:01:04:040,agung,msa_chk_00012
01:01:04:041,msa:01:01:04:041,Yerusalem,msa_chk_00293
01:01:04:042,msa:01:01:04:042,mesti ,msa_chk_00182
01:01:04:043,msa:01:01:04:043,dihancurkan,msa_chk_00098
00:00:00:003,msa:01:01:04:044,.,msa_chk_00007
01:01:05:001,msa:01:01:05:001,Oleh kerana itu,msa_chk_00190
00:00:00:003,msa:01:01:05:002,",",msa_chk_00002
01:01:05:002,msa:01:01:05:003,terjadilah,msa_chk_00267
01:01:05:003,msa:01:01:05:004,bahawa,msa_chk_00037
01:01:05:004,msa:01:01:05:005,bapaku,msa_chk_00041
00:00:00:003,msa:01:01:05:006,",",msa_chk_00002
01:01:05:005,msa:01:01:05:007,Lehi,msa_chk_00150
00:00:00:003,msa:01:01:05:008,",",msa_chk_00002
01:01:05:006,msa:01:01:05:009,sewaktu,msa_chk_00240
01:01:05:007,msa:01:01:05:010,dia pergi,msa_chk_00093
01:01:05:008,msa:01:01:05:011,berdoa,msa_chk_00050
01:01:05:009,msa:01:01:05:012,kepada,msa_chk_00134
01:01:05:010,msa:01:01:05:013,Tuhan,msa_chk_00272
00:00:00:003,msa:01:01:05:014,",",msa_chk_00002
01:01:05:011,msa:01:01:05:015,ya,msa_chk_00281
00:00:00:003,msa:01:01:05:016,",",msa_chk_00002
01:01:05:012,msa:01:01:05:017,bahkan,msa_chk_00038
01:01:05:013,msa:01:01:05:018,dengan,msa_chk_00072
01:01:05:014,msa:01:01:05:019,segenap,msa_chk_00230
01:01:05:015,msa:01:01:05:020,hatinya,msa_chk_00112
00:00:00:003,msa:01:01:05:021,",",msa_chk_00002
01:01:05:016,msa:01:01:05:022,demi,msa_chk_00070
01:01:05:017,msa:01:01:05:023,kepentingan,msa_chk_00137
01:01:05:019,msa:01:01:05:024,bangsanya,msa_chk_00039
00:00:00:003,msa:01:01:05:025,.,msa_chk_00007
01:01:06:001,msa:01:01:06:001,Dan,msa_chk_00065
01:01:06:002,msa:01:01:06:002,terjadilah,msa_chk_00267
01:01:06:003,msa:01:01:06:003,sewaktu,msa_chk_00240
01:01:06:004,msa:01:01:06:004,dia berdoa,msa_chk_00084
01:01:06:005,msa:01:01:06:005,kepada,msa_chk_00134
01:01:06:006,msa:01:01:06:006,Tuhan,msa_chk_00272
00:00:00:003,msa:01:01:06:007,",",msa_chk_00002
01:01:06:007,msa:01:01:06:008,datanglah,msa_chk_00069
01:01:06:008,msa:01:01:06:009,suatu tiang,msa_chk_00243
01:01:06:010,msa:01:01:06:010,api,msa_chk_00031
01:01:06:011,msa:01:01:06:011,dan,msa_chk_00065
01:01:06:012,msa:01:01:06:012,berada,msa_chk_00047
01:01:06:013,msa:01:01:06:013,di atas,msa_chk_00076
01:01:06:014,msa:01:01:06:014,batu,msa_chk_00042
01:01:06:015,msa:01:01:06:015,di hadapannya,msa_chk_00079
00:00:00:003,msa:01:01:06:016,;,msa_chk_00009
01:01:06:017,msa:01:01:06:017,dan,msa_chk_00065
01:01:06:018,msa:01:01:06:018,dia melihat,msa_chk_00089
01:01:06:019,msa:01:01:06:019,dan,msa_chk_00065
01:01:06:020,msa:01:01:06:020,mendengar,msa_chk_00168
01:01:06:021,msa:01:01:06:021,banyak,msa_chk_00040
00:00:00:003,msa:01:01:06:022,;,msa_chk_00009
01:01:06:022,msa:01:01:06:023,dan,msa_chk_00065
01:01:06:023,msa:01:01:06:024,kerana,msa_chk_00139
01:01:06:025,msa:01:01:06:025,apa yang,msa_chk_00030
01:01:06:027,msa:01:01:06:026,dia telah lihat,msa_chk_00095
01:01:06:028,msa:01:01:06:027,dan,msa_chk_00065
01:01:06:029,msa:01:01:06:028,dengar,msa_chk_00074
01:01:06:030,msa:01:01:06:029,dia amat menggigil,msa_chk_00082
01:01:06:031,msa:01:01:06:030,dan,msa_chk_00065
01:01:06:032,msa:01:01:06:031,gementar,msa_chk_00108
00:00:00:003,msa:01:01:06:032,.,msa_chk_00007
01:01:07:001,msa:01:01:07:001,Dan,msa_chk_00065
01:01:07:002,msa:01:01:07:002,terjadilah,msa_chk_00267
01:01:07:003,msa:01:01:07:003,bahawa,msa_chk_00037
01:01:07:004,msa:01:01:07:004,dia kembali,msa_chk_00087
01:01:07:005,msa:01:01:07:005,ke,msa_chk_00125
01:01:07:008,msa:01:01:07:006,rumahnya,msa_chk_00221
01:01:07:007,msa:01:01:07:007,sendiri,msa_chk_00234
01:01:07:009,msa:01:01:07:008,di,msa_chk_00075
01:01:07:010,msa:01:01:07:009,Yerusalem,msa_chk_00293
00:00:00:003,msa:01:01:07:010,",",msa_chk_00002
01:01:07:011,msa:01:01:07:011,dan,msa_chk_00065
01:01:07:012,msa:01:01:07:012,dia,msa_chk_00081
01:01:07:013,msa:01:01:07:013,melemparkan dirinya,msa_chk_00160
01:01:07:014,msa:01:01:07:014,ke atas,msa_chk_00126
01:01:07:015,msa:01:01:07:015,katilnya,msa_chk_00124
00:00:00:003,msa:01:01:07:016,",",msa_chk_00002
10:00:00:003,msa:01:01:07:017,kerana,msa_chk_00139
01:01:07:017,msa:01:01:07:018,dikuasai,msa_chk_00100
01:01:07:018,msa:01:01:07:019,oleh,msa_chk_00189
01:01:07:019,msa:01:01:07:020,Roh,msa_chk_00220
01:01:07:020,msa:01:01:07:021,dan,msa_chk_00065
01:01:07:021,msa:01:01:07:022,perkara-perkara,msa_chk_00211
01:01:07:022,msa:01:01:07:023,yang,msa_chk_00282
01:01:07:023,msa:01:01:07:024,telah dia lihat,msa_chk_00251
00:00:00:003,msa:01:01:07:025,.,msa_chk_00007
01:01:08:001,msa:01:01:08:001,Dan,msa_chk_00065
10:00:00:003,msa:01:01:08:002,kerana,msa_chk_00139
01:01:08:003,msa:01:01:08:003,demikian,msa_chk_00071
01:01:08:004,msa:01:01:08:004,dikuasai,msa_chk_00100
01:01:08:005,msa:01:01:08:005,oleh,msa_chk_00189
01:01:08:006,msa:01:01:08:006,Roh,msa_chk_00220
00:00:00:003,msa:01:01:08:007,",",msa_chk_00002
01:01:08:007,msa:01:01:08:008,dia ,msa_chk_00081
01:01:08:008,msa:01:01:08:009,dibawa pergi,msa_chk_00097
01:01:08:009,msa:01:01:08:010,dalam,msa_chk_00064
01:01:08:010,msa:01:01:08:011,suatu penglihatan,msa_chk_00242
00:00:00:003,msa:01:01:08:012,",",msa_chk_00002
01:01:08:011,msa:01:01:08:013,bahkan,msa_chk_00038
01:01:08:012,msa:01:01:08:014,hingga,msa_chk_00115
01:01:08:013,msa:01:01:08:015,dia melihat,msa_chk_00089
01:01:08:015,msa:01:01:08:016,langit,msa_chk_00148
01:01:08:014,msa:01:01:08:017,terbuka,msa_chk_00264
00:00:00:003,msa:01:01:08:018,",",msa_chk_00002
01:01:08:016,msa:01:01:08:019,dan,msa_chk_00065
01:01:08:017,msa:01:01:08:020,dia berfikir,msa_chk_00085
01:01:08:018,msa:01:01:08:021,dia melihat,msa_chk_00089
01:01:08:019,msa:01:01:08:022,Tuhan,msa_chk_00272
01:01:08:020,msa:01:01:08:023,duduk,msa_chk_00104
01:01:08:021,msa:01:01:08:024,di atas,msa_chk_00076
01:01:08:022,msa:01:01:08:025,takhta-Nya,msa_chk_00246
00:00:00:003,msa:01:01:08:026,",",msa_chk_00002
01:01:08:023,msa:01:01:08:027,dikelilingi,msa_chk_00099
01:01:08:024,msa:01:01:08:028,oleh,msa_chk_00189
01:01:08:026,msa:01:01:08:029,kumpulan-kumpulan,msa_chk_00146
01:01:08:028,msa:01:01:08:030,malaikat,msa_chk_00155
01:01:08:025,msa:01:01:08:031,yang tak terbilang,msa_chk_00291
10:00:00:003,msa:01:01:08:032,jumlahnya,msa_chk_00122
01:01:08:029,msa:01:01:08:033,dalam,msa_chk_00064
01:01:08:030,msa:01:01:08:034,sikap,msa_chk_00241
01:01:08:032,msa:01:01:08:035,bernyanyi,msa_chk_00054
01:01:08:033,msa:01:01:08:036,dan,msa_chk_00065
01:01:08:034,msa:01:01:08:037,memuji,msa_chk_00166
01:01:08:035,msa:01:01:08:038,Tuhan mereka,msa_chk_00273
00:00:00:003,msa:01:01:08:039,.,msa_chk_00007
01:01:09:001,msa:01:01:09:001,Dan,msa_chk_00065
01:01:09:002,msa:01:01:09:002,terjadilah,msa_chk_00267
01:01:09:003,msa:01:01:09:003,bahawa,msa_chk_00037
01:01:09:004,msa:01:01:09:004,dia melihat,msa_chk_00089
