chunk_id,concept_id
spa_chk_00001,spa_con_00001
spa_chk_00002,spa_con_00002
spa_chk_00003,spa_con_00003
spa_chk_00002,spa_con_00002
spa_chk_00005,spa_con_00005
spa_chk_00006,spa_con_00006
spa_chk_00007,spa_con_00007
spa_chk_00008,spa_con_00008
spa_chk_00009,spa_con_00009
spa_chk_00010,spa_con_00010
spa_chk_00002,spa_con_00002
spa_chk_00012,spa_con_00012
spa_chk_00002,spa_con_00002
spa_chk_00014,spa_con_00014
spa_chk_00015,spa_con_00015
spa_chk_00016,spa_con_00016
spa_chk_00017,spa_con_00017
spa_chk_00018,spa_con_00018
spa_chk_00019,spa_con_00019
spa_chk_00002,spa_con_00002
spa_chk_00021,spa_con_00021
spa_chk_00022,spa_con_00022
spa_chk_00023,spa_con_00023
spa_chk_00024,spa_con_00024
spa_chk_00025,spa_con_00025
spa_chk_00026,spa_con_00026
spa_chk_00027,spa_con_00027
spa_chk_00028,spa_con_00028
spa_chk_00002,spa_con_00002
spa_chk_00030,spa_con_00030
spa_chk_00002,spa_con_00002
spa_chk_00032,spa_con_00032
spa_chk_00002,spa_con_00002
spa_chk_00034,spa_con_00034
spa_chk_00035,spa_con_00035
spa_chk_00036,spa_con_00036
spa_chk_00037,spa_con_00037
spa_chk_00038,spa_con_00038
spa_chk_00039,spa_con_00039
spa_chk_00002,spa_con_00002
spa_chk_00041,spa_con_00041
spa_chk_00002,spa_con_00002
spa_chk_00043,spa_con_00043
spa_chk_00044,spa_con_00044
spa_chk_00045,spa_con_00045
spa_chk_00046,spa_con_00046
spa_chk_00047,spa_con_00047
spa_chk_00048,spa_con_00048
spa_chk_00049,spa_con_00049
spa_chk_00050,spa_con_00050
spa_chk_00051,spa_con_00051
spa_chk_00052,spa_con_00052
spa_chk_00002,spa_con_00002
spa_chk_00054,spa_con_00054
spa_chk_00002,spa_con_00002
spa_chk_00056,spa_con_00056
spa_chk_00002,spa_con_00002
spa_chk_00058,spa_con_00058
spa_chk_00059,spa_con_00059
spa_chk_00060,spa_con_00060
spa_chk_00061,spa_con_00061
spa_chk_00062,spa_con_00062
spa_chk_00002,spa_con_00002
spa_chk_00064,spa_con_00064
spa_chk_00002,spa_con_00002
spa_chk_00066,spa_con_00066
spa_chk_00067,spa_con_00067
spa_chk_00068,spa_con_00068
spa_chk_00069,spa_con_00069
spa_chk_00070,spa_con_00070
spa_chk_00071,spa_con_00001
spa_chk_00002,spa_con_00002
spa_chk_00073,spa_con_00003
spa_chk_00074,spa_con_00004
spa_chk_00075,spa_con_00005
spa_chk_00076,spa_con_00006
spa_chk_00077,spa_con_00007
spa_chk_00078,spa_con_00008
spa_chk_00079,spa_con_00009
spa_chk_00080,spa_con_00010
spa_chk_00081,spa_con_00011
spa_chk_00082,spa_con_00012
spa_chk_00002,spa_con_00002
spa_chk_00084,spa_con_00014
spa_chk_00085,spa_con_00015
spa_chk_00086,spa_con_00016
spa_chk_00087,spa_con_00017
spa_chk_00088,spa_con_00018
spa_chk_00089,spa_con_00019
spa_chk_00090,spa_con_00020
spa_chk_00091,spa_con_00021
spa_chk_00002,spa_con_00002
spa_chk_00093,spa_con_00023
spa_chk_00094,spa_con_00024
spa_chk_00095,spa_con_00025
spa_chk_00096,spa_con_00026
spa_chk_00097,spa_con_00027
spa_chk_00098,spa_con_00028
spa_chk_00002,spa_con_00002
spa_chk_00100,spa_con_00030
spa_chk_00101,spa_con_00031
spa_chk_00002,spa_con_00002
spa_chk_00103,spa_con_00033
spa_chk_00104,spa_con_00034
spa_chk_00105,spa_con_00035
spa_chk_00106,spa_con_00036
spa_chk_00107,spa_con_00037
spa_chk_00108,spa_con_00038
spa_chk_00109,spa_con_00039
spa_chk_00110,spa_con_00040
spa_chk_00111,spa_con_00041
spa_chk_00002,spa_con_00002
spa_chk_00113,spa_con_00043
spa_chk_00114,spa_con_00044
spa_chk_00115,spa_con_00045
spa_chk_00002,spa_con_00002
spa_chk_00002,spa_con_00002
spa_chk_00118,spa_con_00048
spa_chk_00119,spa_con_00049
spa_chk_00120,spa_con_00050
spa_chk_00121,spa_con_00051
spa_chk_00122,spa_con_00052
spa_chk_00123,spa_con_00053
spa_chk_00124,spa_con_00054
spa_chk_00002,spa_con_00002
spa_chk_00002,spa_con_00002
spa_chk_00127,spa_con_00057
spa_chk_00128,spa_con_00058
spa_chk_00129,spa_con_00059
spa_chk_00130,spa_con_00060
spa_chk_00131,spa_con_00061
spa_chk_00132,spa_con_00062
spa_chk_00133,spa_con_00063
spa_chk_00134,spa_con_00064
spa_chk_00135,spa_con_00065
spa_chk_00136,spa_con_00066
spa_chk_00002,spa_con_00002
spa_chk_00138,spa_con_00068
spa_chk_00139,spa_con_00069
spa_chk_00140,spa_con_00070
spa_chk_00001,spa_con_00001
spa_chk_00125,spa_con_00055
spa_chk_00003,spa_con_00003
spa_chk_00004,spa_con_00004
spa_chk_00005,spa_con_00005
spa_chk_00002,spa_con_00002
spa_chk_00007,spa_con_00007
spa_chk_00002,spa_con_00002
spa_chk_00009,spa_con_00009
spa_chk_00002,spa_con_00002
spa_chk_00011,spa_con_00011
spa_chk_00012,spa_con_00012
spa_chk_00013,spa_con_00013
spa_chk_00014,spa_con_00014
spa_chk_00015,spa_con_00015
spa_chk_00002,spa_con_00002
spa_chk_00017,spa_con_00017
spa_chk_00018,spa_con_00018
spa_chk_00019,spa_con_00019
spa_chk_00002,spa_con_00002
spa_chk_00021,spa_con_00021
spa_chk_00002,spa_con_00002
spa_chk_00023,spa_con_00023
spa_chk_00024,spa_con_00024
spa_chk_00025,spa_con_00025
spa_chk_00002,spa_con_00002
spa_chk_00027,spa_con_00027
spa_chk_00028,spa_con_00028
spa_chk_00029,spa_con_00029
spa_chk_00030,spa_con_00030
spa_chk_00002,spa_con_00002
spa_chk_00032,spa_con_00032
spa_chk_00033,spa_con_00033
spa_chk_00034,spa_con_00034
spa_chk_00035,spa_con_00035
spa_chk_00036,spa_con_00036
spa_chk_00037,spa_con_00037
spa_chk_00002,spa_con_00002
spa_chk_00039,spa_con_00039
spa_chk_00040,spa_con_00040
spa_chk_00041,spa_con_00041
spa_chk_00002,spa_con_00002
spa_chk_00043,spa_con_00043
spa_chk_00044,spa_con_00044
spa_chk_00002,spa_con_00002
spa_chk_00046,spa_con_00046
spa_chk_00047,spa_con_00047
spa_chk_00048,spa_con_00048
spa_chk_00002,spa_con_00002
spa_chk_00050,spa_con_00050
spa_chk_00051,spa_con_00051
spa_chk_00052,spa_con_00052
spa_chk_00053,spa_con_00053
spa_chk_00054,spa_con_00054
spa_chk_00055,spa_con_00055
spa_chk_00056,spa_con_00056
spa_chk_00002,spa_con_00002
spa_chk_00058,spa_con_00058
spa_chk_00059,spa_con_00059
spa_chk_00060,spa_con_00060
spa_chk_00061,spa_con_00061
