master_position,instance_id,instance_text
01:03:01:001,spa:01:03:01:001,Y
01:03:01:002,spa:01:03:01:002,aconteció
01:03:01:003,spa:01:03:01:003,que
01:03:01:004,spa:01:03:01:010,yo
10:00:00:002,spa:01:03:01:004,después
10:00:00:002,spa:01:03:01:005,de
00:00:00:002,spa:01:03:01:011,","
00:00:00:002,spa:01:03:01:009,","
01:03:01:005,spa:01:03:01:012,Nefi
01:03:01:006,spa:01:03:01:014,volví
01:03:01:008,spa:01:03:01:006,hablar
01:03:01:009,spa:01:03:01:007,con
01:03:01:010,spa:01:03:01:008,el Señor
,spa:01:03:01:013,","
01:03:01:011,spa:01:03:01:015,a
01:03:01:012,spa:01:03:01:016,la tienda
01:03:01:013,spa:01:03:01:017,de
01:03:01:014,spa:01:03:01:018,mi padre
,spa:01:03:01:019,.
01:03:02:001,spa:01:03:02:001,Y
01:03:02:002,spa:01:03:02:002,sucedió
01:03:02:003,spa:01:03:02:003,que
01:03:02:004,spa:01:03:02:004,me habló
,spa:01:03:02:005,","
01:03:02:005,spa:01:03:02:006,diciendo
,spa:01:03:02:007,:
01:03:02:006,spa:01:03:02:008,He aquí
,spa:01:03:02:009,","
01:03:02:007,spa:01:03:02:010,he soñado
01:03:02:008,spa:01:03:02:011,un sueño
,spa:01:03:02:012,","
01:03:02:009,spa:01:03:02:013,en
01:03:02:010,spa:01:03:02:014,el que
01:03:02:011,spa:01:03:02:015,el Señor
01:03:02:012,spa:01:03:02:016,me ha mandado
01:03:02:013,spa:01:03:02:017,que
01:03:02:014,spa:01:03:02:018,tú
01:03:02:015,spa:01:03:02:019,y
01:03:02:016,spa:01:03:02:020,tus hermanos
01:03:02:017,spa:01:03:02:021,volváis
01:03:02:018,spa:01:03:02:022,a
01:03:02:019,spa:01:03:02:023,Jerusalén
,spa:01:03:02:024,.
01:03:03:001,spa:01:03:03:001,Pues
01:03:03:002,spa:01:03:03:002,he aquí
,spa:01:03:03:003,","
01:03:03:003,spa:01:03:03:004,Labán
01:03:03:004,spa:01:03:03:005,tiene
01:03:03:005,spa:01:03:03:006,los anales
01:03:03:006,spa:01:03:03:007,de
01:03:03:007,spa:01:03:03:008,los judíos
,spa:01:03:03:009,","
01:03:03:008,spa:01:03:03:010,así
01:03:03:009,spa:01:03:03:011,como
01:03:03:010,spa:01:03:03:012,una genealogía
01:03:03:011,spa:01:03:03:013,de
01:03:03:012,spa:01:03:03:014,mis antepasados
,spa:01:03:03:015,;
01:03:03:013,spa:01:03:03:016,y
01:03:03:014,spa:01:03:03:017,están
01:03:03:015,spa:01:03:03:018,grabados
01:03:03:016,spa:01:03:03:019,sobre
