master_position,instance_id,instance_text,chunk_id
01:01:01:001,spa:01:01:01:001,Yo,spa_chk_00001
00:00:00:002,spa:01:01:01:002,",",spa_chk_00002
01:01:01:002,spa:01:01:01:003,Nefi,spa_chk_00003
00:00:00:002,spa:01:01:01:004,",",spa_chk_00002
01:01:01:003,spa:01:01:01:005,nací,spa_chk_00005
01:01:01:004,spa:01:01:01:006,de,spa_chk_00006
01:01:01:005,spa:01:01:01:007,buenos,spa_chk_00007
01:01:01:006,spa:01:01:01:008,padres,spa_chk_00008
00:00:00:002,spa:01:01:01:009,y,spa_chk_00009
01:01:01:008,spa:01:01:01:010,recibí,spa_chk_00010
00:00:00:002,spa:01:01:01:011,",",spa_chk_00002
01:01:01:007,spa:01:01:01:012,por tanto,spa_chk_00012
00:00:00:002,spa:01:01:01:013,",",spa_chk_00002
01:01:01:009,spa:01:01:01:014,alguna instrucción,spa_chk_00014
01:01:01:010,spa:01:01:01:015,en,spa_chk_00015
01:01:01:011,spa:01:01:01:016,toda,spa_chk_00016
01:01:01:012,spa:01:01:01:017,la ciencia,spa_chk_00017
01:01:01:013,spa:01:01:01:018,de,spa_chk_00018
01:01:01:014,spa:01:01:01:019,mi padre,spa_chk_00019
00:00:00:002,spa:01:01:01:020,;,spa_chk_00002
01:01:01:015,spa:01:01:01:021,y,spa_chk_00021
01:01:01:016,spa:01:01:01:022,habiendo conocido,spa_chk_00022
01:01:01:017,spa:01:01:01:023,muchas,spa_chk_00023
01:01:01:018,spa:01:01:01:024,aflicciones,spa_chk_00024
01:01:01:019,spa:01:01:01:025,durante,spa_chk_00025
01:01:01:020,spa:01:01:01:026,el curso,spa_chk_00026
01:01:01:021,spa:01:01:01:027,de,spa_chk_00027
01:01:01:022,spa:01:01:01:028,mi vida,spa_chk_00028
00:00:00:002,spa:01:01:01:029,",",spa_chk_00002
01:01:01:024,spa:01:01:01:030,siendo,spa_chk_00030
00:00:00:002,spa:01:01:01:031,",",spa_chk_00002
01:01:01:023,spa:01:01:01:032,no obstante,spa_chk_00032
00:00:00:002,spa:01:01:01:033,",",spa_chk_00002
01:01:01:025,spa:01:01:01:034,altamente,spa_chk_00034
01:01:01:026,spa:01:01:01:035,favorecido,spa_chk_00035
01:01:01:027,spa:01:01:01:036,del,spa_chk_00036
01:01:01:028,spa:01:01:01:037,Señor,spa_chk_00037
01:01:01:030,spa:01:01:01:038,todos,spa_chk_00038
01:01:01:031,spa:01:01:01:039,mis dias,spa_chk_00039
00:00:00:002,spa:01:01:01:040,;,spa_chk_00002
01:01:01:032,spa:01:01:01:041,sí,spa_chk_00041
00:00:00:002,spa:01:01:01:042,",",spa_chk_00002
01:01:01:033,spa:01:01:01:043,habiendo logrado,spa_chk_00043
01:01:01:034,spa:01:01:01:044,un,spa_chk_00044
01:01:01:035,spa:01:01:01:045,conocimiento,spa_chk_00045
01:01:01:036,spa:01:01:01:046,grande,spa_chk_00046
01:01:01:037,spa:01:01:01:047,de,spa_chk_00047
01:01:01:038,spa:01:01:01:048,la bondad,spa_chk_00048
01:01:01:039,spa:01:01:01:049,y,spa_chk_00049
01:01:01:040,spa:01:01:01:050,los misterios,spa_chk_00050
01:01:01:041,spa:01:01:01:051,de,spa_chk_00051
01:01:01:042,spa:01:01:01:052,Dios,spa_chk_00052
00:00:00:002,spa:01:01:01:053,",",spa_chk_00002
01:01:01:044,spa:01:01:01:054,escribo,spa_chk_00054
00:00:00:002,spa:01:01:01:055,",",spa_chk_00002
01:01:01:043,spa:01:01:01:056,por tanto,spa_chk_00056
00:00:00:002,spa:01:01:01:057,",",spa_chk_00002
01:01:01:045,spa:01:01:01:058,la historia,spa_chk_00058
01:01:01:046,spa:01:01:01:059,de,spa_chk_00059
01:01:01:047,spa:01:01:01:060,los hechos,spa_chk_00060
01:01:01:048,spa:01:01:01:061,de,spa_chk_00061
01:01:01:049,spa:01:01:01:062,mi vida,spa_chk_00062
00:00:00:002,spa:01:01:01:063,.,spa_chk_00002
01:01:02:001,spa:01:01:02:001,Sí,spa_chk_00064
00:00:00:002,spa:01:01:02:002,",",spa_chk_00002
01:01:02:002,spa:01:01:02:003,hago,spa_chk_00066
01:01:02:003,spa:01:01:02:004,la relación,spa_chk_00067
01:01:02:004,spa:01:01:02:005,en,spa_chk_00068
01:01:02:005,spa:01:01:02:006,el lenguaje,spa_chk_00069
01:01:02:006,spa:01:01:02:007,de,spa_chk_00070
01:01:02:007,spa:01:01:02:008,mi padre,spa_chk_00071
00:00:00:002,spa:01:01:02:009,",",spa_chk_00002
01:01:02:008,spa:01:01:02:010,que,spa_chk_00073
01:01:02:009,spa:01:01:02:011,se compone,spa_chk_00074
01:01:02:010,spa:01:01:02:012,de,spa_chk_00075
01:01:02:011,spa:01:01:02:013,la ciencia,spa_chk_00076
01:01:02:012,spa:01:01:02:014,de,spa_chk_00077
01:01:02:013,spa:01:01:02:015,los judíos,spa_chk_00078
01:01:02:014,spa:01:01:02:016,y,spa_chk_00079
01:01:02:015,spa:01:01:02:017,el idioma,spa_chk_00080
01:01:02:016,spa:01:01:02:018,de,spa_chk_00081
01:01:02:017,spa:01:01:02:019,los egipcios,spa_chk_00082
00:00:00:002,spa:01:01:02:020,.,spa_chk_00002
01:01:03:001,spa:01:01:03:001,Y,spa_chk_00084
01:01:03:002,spa:01:01:03:002,sé,spa_chk_00085
01:01:03:003,spa:01:01:03:003,que,spa_chk_00086
01:01:03:004,spa:01:01:03:004,la historia,spa_chk_00087
01:01:03:005,spa:01:01:03:005,que,spa_chk_00088
01:01:03:006,spa:01:01:03:006,escribo,spa_chk_00089
01:01:03:007,spa:01:01:03:007,es,spa_chk_00090
01:01:03:008,spa:01:01:03:008,verdadera,spa_chk_00091
00:00:00:002,spa:01:01:03:009,;,spa_chk_00002
01:01:03:009,spa:01:01:03:010,y,spa_chk_00093
01:01:03:010,spa:01:01:03:011,la escribo,spa_chk_00094
01:01:03:011,spa:01:01:03:012,de,spa_chk_00095
01:01:03:012,spa:01:01:03:013,mi,spa_chk_00096
01:01:03:013,spa:01:01:03:014,propia,spa_chk_00097
01:01:03:014,spa:01:01:03:015,mano,spa_chk_00098
00:00:00:002,spa:01:01:03:016,",",spa_chk_00002
01:01:03:017,spa:01:01:03:017,con arreglo a,spa_chk_00100
01:01:03:018,spa:01:01:03:018,mis conocimientos,spa_chk_00101
00:00:00:002,spa:01:01:03:019,.,spa_chk_00002
01:01:04:001,spa:01:01:04:001,Pues,spa_chk_00103
01:01:04:002,spa:01:01:04:002,sucedió que,spa_chk_00104
01:01:04:004,spa:01:01:04:003,al comenzar,spa_chk_00105
